"Offset","First","Last"
"10894","Kyle","Lowry"
"28128","Ryan","Rollins"
"45362","Isaac","Okoro"
"62596","De'Andre","Hunter"
"79830","Sam","Hauser"
"97064","Brook","Lopez"
"114298","Santi","Aldama"
"131532","Jalen","Johnson"
"148766","Davion","Mitchell"
"166000","Moussa","Diabate"
"183234","Walker","Kessler"
"200468","DeMar","DeRozan"
"217702","OG","Anunoby"
"234936","Maxi","Kleber"
"252170","Tristan","Da Silva"
"269404","D'Angelo","Russell"
"286638","Drake","Powell"
"303872","Nikola","Jokic"
"321106","T.J.","McConnell"
"338340","Yves","Missi"
"355574","Jalen","Duren"
"372808","Jakob","Poeltl"
"390042","Jabari","Smith Jr."
"407276","Harrison","Barnes"
"424510","Mark","Williams"
"441744","Isaiah","Hartenstein"
"458978","Julius","Randle"
"476212","Toumani","Camara"
"493446","Brandin","Podziemski"
"510680","Alexandre","Sarr"
"527914","Lester","Quinones"
"545148","Richaun","Holmes"
"562382","Javonte","Green"
"579616","Landry","Shamet"
"596850","Brandon","Boston Jr."
"614084","Pat","Spencer"
"631318","Kai","Jones"
"648552","Terry","Taylor"
"665786","Jahlil","Okafor"
"683020","Eugene","Omoruyi"
"700254","Julius","Erving"
"717488","Giannis","Antetokounmpo"
"734722","Artis","Gilmore"
"751956","Kevin","Love"
"769190","Jo Jo","White"
"786424","Danny","Manning"
"803658","Jaren","Jackson Jr."
"820892","Steve","Smith"
"838126","Udonis","Haslem"
"855360","Kendall","Gill"
"872594","Thurl","Bailey"
"889828","Kevin","Martin"
"907062","Julius","Randle"
"924296","Penny","Hardaway"
"941530","Rolando","Blackman"
"958764","Julius","Erving"
"975998","Carmelo","Anthony"
"993232","Mel","Daniels"
"1010466","Zion","Williamson"
"1027700","Dave","Bing"
"1044934","Antonio","Davis"
"1062168","Ralph","Sampson"
"1079402","Victor","Wembanyama"
"1096636","Paul","Westphal"
"1113870","Fred","Brown"
"1131104","Christian","Laettner"
"1148338","Kiki","Vandeweghe"
"1165572","Mitch","Richmond"
"1182806","Oscar","Robertson"
"1200040","Bob","Lanier"
"1217274","Moses","Malone"
"1234508","David","Robinson"
"1251742","Kevin","Garnett"
"1268976","Derrick","Rose"
"1286210","Michael","Davis"
"1303444","William","Jones"
"1320678","Bill","Bradley"
"1337912","Darryl","Dawkins"
"1355146","Randy","Breuer"
"1372380","Gus","Washington"
"1389614","Doc","Rivers"
"1406848","A.C.","Green"
"1424082","Brad","Sellers"
"1441316","Micheal","Williams"
"1458550","Scotty","Austin"
"1475784","Byron","Scott"
"1493018","Kevin","Duckworth"
"1510252","Mario","Elie"
"1527486","Stacey","King"
"1544720","Vernon","Maxwell"
"1561954","Dikembe","Mutombo"
"1579188","Greg","Anthony"
"1596422","Tree","Rollins"
"1613656","Randy","Brown"
"1630890","Michael","Jordan"
"1648124","Karl","Malone"
"1665358","Derek","Fisher"
"1682592","Monty","Williams"
"1699826","John","Thomas"
"1717060","John","Davis"
"1734294","Pepe","Sanchez"
"1751528","Steve","Nash"
"1768762","Corliss","Williamson"
"1785996","Wally","Szczerbiak"
"1803230","Walter","McCarty"
"1820464","Derek","Anderson"
"1837698","Steven","Brown"
"1854932","Rafer","Alston"
"1872166","Udonis","Haslem"
"1889400","Willie","Anderson"
"1906634","Herb","Williams"
"1923868","James","Smith"
"1941102","Kobe","Bryant"
"1958336","Bruce","Bowen"
"1975570","Kelenna","Azubuike"
"2010038","Brian","Scalabrine"
"2027272","Damon","Stoudamire"
"2044506","Dirk","Nowitzki"
"2061740","Mike","Bibby"
"2078974","Chad","Miller"
"2096208","James","Smith"
"2113442","Shawn","Marion"
"2130676","Brendan","Haywood"
"2147910","Patrick","Mills"
"2165144","David","Williams"
"2182378","LeBron","James"
"2199612","Matt","Barnes"
"2216846","David","Williams"
"2234080","Glenn","Hardin"
"2251314","Pete","Morgan"
"2268548","Kemba","Walker"
"2285782","Dwyane","Wade"
"2303016","LeBron","James"
"2320250","Dirk","Nowitzki"
"2337484","Nikola","Jokic"
"2354718","Beno","Udrih"
"2371952","Shaun","Livingston"
"2389186","K.J.","McDaniels"
"2406420","Aaron","Brooks"
"2423654","Marreese","Speights"
"2440888","José","Calderon"
"2458122","Henry","Gibson"
"2475356","Byron","Ellis"
"2492590","Devin","Mitchell"
"2509824","Malik","Perry"
"2527058","Benny","Murray"
"2544292","Tim","Robinson"
"2561526","Elfrid","Payton"
"2578760","Sergio","Rodriguez"
"2595994","T.J.","Warren"
"2613228","Al-Farouq","Aminu"
"2630462","Pau","Gasol"
"2647696","Omri","Casspi"
"2664930","Terrence","Ross"
"2682164","Danté","Exum"
"2699398","Danuel","House Jr."
"2716632","Zaza","Pachulia"
"2733866","Jason","Davis"
"2751100","Pete","Vandeweghe"
"2768334","Darrell","Reed"
"2785568","Anthony","Parker"
"2802802","Caron","Butler"
"2820036","Kenyon","Martin"
"2837270","Greg","Monroe"
"2854504","Vladimir","Radmanovic"
"2871738","Chase","Budinger"
"2888972","T.J.","Ford"
"2906206","Craig","Smith"
"2923440","Theo","Ratliff"
"2940674","Coby","Watson"
"2957908","Lee","Cousins"
"2975142","Luke","Ridnour"
"2992376","Marcus","Thornton"
"3009610","Danilo","Gallinari"
"3026844","Jeff","Green"
"3044078","Dwight","Howard"
"3061312","Louis","Williams"
"3078546","Josh","Childress"
"3095780","Greg","Oden"
"3113014","Alonzo","Gee"
"3130248","José","Calderon"
"3147482","Raja","Bell"
"3164716","Jianlian","Yi"
"3181950","Greg","Buckner"
"3199184","Flip","Murray"
"3216418","Fred","Hoiberg"
"3233652","Ricky","Hill"
"3250886","Lamar","Odom"
"3268120","Drew","Gooden"
"3285354","Theo","Ratliff"
"3302588","Mike","James"
"3319822","Elden","Campbell"
"3337056","Scott","Padgett"
"3354290","Larry","Hansen"
"3371524","Sherman","Stewart"
"3388758","Tracy","McGrady"
"3405992","Dirk","Nowitzki"
"3423226","Jason","Collins"
"3440460","Marcus","Camby"
"3457694","Jonathan","Bender"
"3474928","Hubert","Davis"
"3492162","Lamond","Murray"
"3509396","Louis","Howard"
"3526630","Stephon","Marbury"
"3543864","Rashard","Lewis"
"3561098","Kendall","Gill"
"3578332","Ruben","Patterson"
"3595566","Chuck","Washington"
"3612800","Jahidi","White"
"3630034","Phil","Butler"
"3647268","Dante","Manning"
"3664502","John","Williams"
"3681736","Larry","Nance"
"3698970","Kevin","McHale"
"3716204","Tony","Brown"
"3733438","Joe","McCoy"
"3750672","Muggsy","Bogues"
"3767906","Karl","Malone"
"3785140","Pete","Chilcutt"
"3802374","Patrick","Eddie"
"3819608","Magic","Johnson"
"3836842","Rolando","Blackman"
"3854076","Chris","Dudley"
"3871310","Todd","Lichti"
"3888544","Randy","Wittman"
"3905778","Carl","Hunt"
"3923012","Gary","Payton"
"3940246","Terry","Cummings"
"3957480","Mark","West"
"3974714","Luc","Longley"
"3991948","Alaa","Abdelnaby"
"4009182","Jim","Petersen"
"4026416","Alton","Lister"
"4043650","John","Carter"
"4060884","Travis","Harris"
"4078118","Cedric","Maxwell"
"4095352","Billy","McKinney"
"4112586","Amida","Nunnally"
"4129820","Guy","Porter"
"4147054","Trent","Tucker"
"4164288","James","Worthy"
"4181522","Kurt","Nimphius"
"4198756","Bill","Willoughby"
"4215990","Les","Dotson"
"4233224","Kelly","Tripucka"
"4250458","Wally","Walker"
"4267692","Ed","Brooks"
"4284926","Rory","White"
"4302160","William","Warren"
"4319394","Samuel","Williams"
